Región;Comunas;Nivel de planificación;Tipo de planificación;Clasificación;Denominación;Estado;Fecha de inicio de vigencia;Fecha de derogación;Fecha de último hito cumplido;Fecha de desestimiento;Modificación de Límite Urbano;Evaluación Ambiental Estratégica (EAE);Fecha de inicio de EAE;Fecha de término de EAE;Consulta Indígena;Códigos de instrumentos de origen que afecta
ATACAMA;COPIAPO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Copiapó;Vigente;17-12-2002;;;;Sin información;Sin información;;;Sin información;113, 112, 114, 115, 116, 117, 3262, 148, 152, 3239, 3240, 3241, 3242, 3243, 3235, 3236, 3245, 3244, 3246, 3247, 3237, 3248, 3249, 3250, 3238, 3251, 3253, 3252, 3256, 3254, 3255
LOS RÍOS;LA UNION;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Unión;Vigente;04-04-2003;;;;Sin información;Sin información;;;Sin información;2551, 2552, 2606
METROPOLITANA DE SANTIAGO;PUENTE ALTO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Puente Alto;Vigente;25-04-2003;;;;Sin información;Sin información;;;Sin información;1769, 1820, 2160, 2154, 1634, 2044, 2043, 2098, 1753, 1978, 3290
LOS RÍOS;LANCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lanco;Vigente;30-05-2003;;;;Sin información;Sin información;;;Sin información;2608
BIOBÍO;CHIGUAYANTE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chiguayante;Vigente;04-07-2003;;;;No procede;No procede;;;No procede;882, 883, 884, 885, 886, 887, 888, 889, 890
VALPARAÍSO;LOS ANDES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Los Andes y Seccional Río Blanco;Vigente;29-08-2003;;;;Procede;No procede;;;No procede;3285, 371, 372, 540, 3063, 3065
VALPARAÍSO;SANTO DOMINGO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santo Domingo;Vigente;11-11-2003;;;;Procede;No procede;;;No procede;444, 446, 447, 445, 448, 527, 555, 3156, 3157, 3103, 3102, 2749
LOS LAGOS;FRESIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Fresia;Vigente;19-01-2004;;;;Sin información;Sin información;;;Sin información;1294
BIOBÍO;CONCEPCION;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Concepción;Vigente;22-04-2004;;;;No procede;No procede;;;No procede;893, 895, 897, 899, 903, 904, 906, 905, 908, 902, 907
METROPOLITANA DE SANTIAGO;MACUL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Macul;Vigente;08-05-2004;;;;Sin información;Sin información;;;Sin información;2121, 1633, 2053, 1666, 1810, 2161, 1637, 1678, 1664, 1709, 1727, 1845, 2155, 1768, 1831, 3275, 2184, 2242
ANTOFAGASTA;OLLAGUE;Comunal;PRC;Instrumento de origen;Plano Regulador de la Comuna de Ollagüe;Vigente;19-06-2004;;;;No procede;No procede;;;No procede;106
METROPOLITANA DE SANTIAGO;LA CISTERNA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Cisterna;Vigente;07-08-2004;;;;Sin información;Sin información;;;Sin información;2006, 2344, 2339
METROPOLITANA DE SANTIAGO;HUECHURABA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Huechuraba;Vigente;29-09-2004;;;;Sin información;Sin información;;;Sin información;1731, 1982, 1752, 1767, 2058, 1834, 1655, 1828, 1942, 1654, 1672, 2316, 3273, 2343, 2641, 2642
ANTOFAGASTA;CALAMA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Calama;Vigente;04-10-2004;;;;No procede;No procede;;;No procede;56, 57, 64, 65, 66, 104
LOS LAGOS;FRUTILLAR;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Frutillar;Vigente;28-10-2004;;;;Sin información;Sin información;;;Sin información;1268
METROPOLITANA DE SANTIAGO;MAIPU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maipú;Vigente;13-11-2004;;;;Sin información;Sin información;;;Sin información;1788, 2034, 2100, 1970, 2023, 1787, 1802, 2090, 1827, 2345
METROPOLITANA DE SANTIAGO;RECOLETA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Recoleta;Vigente;08-01-2005;;;;Sin información;Sin información;;;Sin información;1846, 1673, 1898, 2051, 1740, 3282, 2226
METROPOLITANA DE SANTIAGO;PADRE HURTADO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Padre Hurtado;Vigente;04-02-2005;;;;Sin información;Sin información;;;Sin información;1995, 2138, 1621, 1813, 1979, 1789, 1653, 1857, 1981, 1644, 2142, 2167, 3279, 2204
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PICHILEMU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pichilemu;Vigente;26-02-2005;;;;Sin información;Sin información;;;Sin información;663, 664, 665, 666, 760, 2654, 759
ATACAMA;CHAÑARAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chañaral;Vigente;13-04-2005;;;;Sin información;Sin información;;;Sin información;137, 153, 3260, 3259, 3261
VALPARAÍSO;EL TABO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de El Tabo;Vigente;25-04-2005;;;;Procede;No procede;;;No procede;432, 435, 433, 437, 440, 561, 438, 2842, 2739, 439
LOS LAGOS;QUELLON;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quellón;Vigente;16-06-2005;;;;Sin información;Sin información;;;Sin información;1280, 1300
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PEUMO;Comunal;PRC;Instrumento de origen;Plan Regulador de Peumo;Vigente;02-07-2005;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;RINCONADA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Rinconada;Vigente;31-10-2005;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;TALCAHUANO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Talcahuano;Vigente;31-01-2006;;;;No procede;No procede;;;No procede;991, 992, 993, 994, 995, 996, 1036, 997
METROPOLITANA DE SANTIAGO;SAN BERNARDO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Bernardo;Vigente;13-06-2006;;;;Sin información;Sin información;;;Sin información;1716, 1984, 1886, 1829, 1939, 2086, 2085, 2084, 2312, 2655
VALPARAÍSO;SAN ANTONIO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Antonio;Vigente;21-06-2006;;;;Procede;No procede;;;No procede;411, 3154, 3153, 2955, 2954, 2936, 2935, 2934, 2852, 2853, 2743, 2744, 2746, 2745
LOS LAGOS;CALBUCO;Comunal;PRC;Instrumento de origen;APRUEBA ACTUALIZACION AL PLAN REGULADOR COMUNAL DE CALBUCO;Vigente;24-07-2006;;;;Sin información;Sin información;;;Sin información;1274, 1293
LIBERTADOR GENERAL BERNARDO O'HIGGINS;SAN VICENTE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Vicente;Vigente;27-09-2006;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PICHIDEGUA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pichidegua;Vigente;25-10-2006;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;SANTA JUANA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Santa Juana;Vigente;15-12-2006;;;;Sin información;Sin información;;;Sin información;989
ÑUBLE;RÁNQUIL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ránquil;Vigente;21-12-2006;;;;Sin información;Sin información;;;Sin información;2442
METROPOLITANA DE SANTIAGO;PROVIDENCIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Providencia;Vigente;23-01-2007;;;;Sin información;Sin información;;;Sin información;3300, 1617, 1729, 1698, 1732, 1817, 2113, 2071, 2107, 2122, 2032, 1795, 1616, 2616, 2618, 2619
BIOBÍO;LOS ANGELES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Los Ángeles;Vigente;01-03-2007;;;;No procede;No procede;;;No procede;951, 952, 954, 953
BIOBÍO;PENCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Penco;Vigente;30-05-2007;;;;No procede;No procede;;;No procede;971, 972, 973, 974, 975, 976, 1015, 977
LOS LAGOS;CASTRO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Castro;Vigente;07-06-2007;;;;Sin información;Sin información;;;Sin información;1269, 1287, 1276, 1286, 1277, 3287
ÑUBLE;QUIRIHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quirihue;Vigente;30-06-2007;;;;Sin información;Sin información;;;Sin información;2429, 2460
ÑUBLE;PORTEZUELO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Portezuelo;Vigente;30-06-2007;;;;Sin información;Sin información;;;Sin información;2440
BIOBÍO;FLORIDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Florida;Vigente;17-11-2007;;;;No procede;No procede;;;No procede;924
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MACHALI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Machalí_Localidades de Machalí y Coya;Vigente;05-12-2007;;;;Sin información;Sin información;;;Sin información;627, 628, 629, 630, 631, 632, 633, 735, 757, 758
ÑUBLE;QUILLÓN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quillón;Vigente;17-12-2007;;;;Sin información;Sin información;;;Sin información;2413, 2414, 2457
BIOBÍO;LOS ALAMOS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Los Alamos;Vigente;12-03-2008;;;;Sin información;Sin información;;;Sin información;949, 1031
ÑUBLE;NINHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ninhue;Vigente;01-07-2008;;;;Sin información;Sin información;;;Sin información;2437
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PALMILLA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Palmilla;Vigente;28-08-2008;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;COINCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Coinco_Localidades de Coinco- Cruz de Chillehue y Copequén;Vigente;28-08-2008;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;TOME;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Tomé;Vigente;08-09-2008;;;;No procede;No procede;;;No procede;1004, 1005, 1006, 1012
BIOBÍO;LAJA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Laja;Vigente;16-10-2008;;;;No procede;No procede;;;No procede;942, 943, 944, 945
LIBERTADOR GENERAL BERNARDO O'HIGGINS;NAVIDAD;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Navidad;Vigente;29-01-2009;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;CHEPICA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chépica_Localidades de Chépica y Auquinco;Vigente;11-02-2009;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;RENGO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Rengo;Vigente;14-04-2009;;;;Sin información;Sin información;;;Sin información;701, 702, 703, 704, 705, 706, 707, 708, 709, 710, 711, 712, 713, 714, 715, 716, 739, 2651
BIOBÍO;LEBU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lebu;Vigente;24-04-2009;;;;No procede;No procede;;;No procede;947
LA ARAUCANÍA;COLLIPULLI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Collipulli;Vigente;02-07-2009;;;;Sin información;Sin información;;;Sin información;1134
ARICA Y PARINACOTA;ARICA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Arica;Vigente;11-07-2009;;;;Procede;No procede;;;No procede;2513, 2537, 3042, 3046, 3051, 3053, 3054, 3055
BIOBÍO;NACIMIENTO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Nacimiento;Vigente;13-07-2009;;;;No procede;No procede;;;No procede;964, 965, 966, 1019
COQUIMBO;ILLAPEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Illapel;Vigente;08-08-2009;;;;Sin información;Sin información;;;Sin información;212, 243, 2927
MAULE;CAUQUENES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cauquenes;Vigente;04-09-2009;;;;No procede;No procede;;;No procede;796, 3292, 3228, 3229
VALPARAÍSO;PUCHUNCAVI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Puchuncaví;Vigente;05-09-2009;;;;Procede;No procede;;;No procede;314, 550, 526, 2843, 2844
ÑUBLE;ÑIQUÉN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ñiquén;Vigente;24-09-2009;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;YUMBEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Yumbel;Vigente;11-11-2009;;;;Sin información;Sin información;;;Sin información;1037
BIOBÍO;CAÑETE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cañete;Vigente;11-11-2009;;;;No procede;No procede;;;No procede;879, 880
LOS LAGOS;PUERTO MONTT;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Puerto Montt;Vigente;12-11-2009;;;;Sin información;Sin información;;;Sin información;1278, 2664, 1295, 1281
ATACAMA;FREIRINA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Freirina;Vigente;14-12-2009;;;;Sin información;Sin información;;;Sin información;145, 149
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LOLOL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lolol;Vigente;17-12-2009;;;;Sin información;Sin información;;;Sin información;
ÑUBLE;EL CARMEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de El Carmen;Vigente;28-12-2009;;;;Sin información;Sin información;;;Sin información;
BIOBÍO;CABRERO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cabrero;Vigente;28-12-2009;;;;No procede;No procede;;;No procede;875, 876, 1018
METROPOLITANA DE SANTIAGO;LO PRADO;Comunal;PRC;Instrumento de origen;Plan Regulador comunal de Lo Prado;Vigente;31-12-2009;;;;No procede;No procede;;;No procede;3264, 1883
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LITUECHE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Litueche;Vigente;13-01-2010;;;;Sin información;Sin información;;;Sin información;736
LA ARAUCANÍA;TEMUCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Temuco-Labranza;Vigente;02-02-2010;;;;Sin información;Sin información;;;Sin información;1058, 1059, 1057
ÑUBLE;SAN CARLOS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Carlos;Vigente;03-02-2010;;;;Sin información;Sin información;;;Sin información;2445
ÑUBLE;COELEMU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Coelemu;Vigente;03-02-2010;;;;Sin información;Sin información;;;Sin información;2434
ATACAMA;CALDERA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Caldera;Vigente;13-02-2010;;;;Sin información;Sin información;;;Sin información;130, 131, 3197, 3258, 3257
LOS LAGOS;SAN PABLO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Pablo;Vigente;18-03-2010;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;COLINA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Colina;Vigente;26-03-2010;;;;Sin información;Sin información;;;Sin información;2171, 2170, 2172, 2173, 2174, 3268, 2284, 2285
BIOBÍO;SAN PEDRO DE LA PAZ;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Pedro de la Paz;Vigente;24-03-2011;;;;No procede;No procede;;;No procede;982, 983, 1022
LIBERTADOR GENERAL BERNARDO O'HIGGINS;CHIMBARONGO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chimbarongo;Vigente;17-06-2011;;;;Sin información;Sin información;;;Sin información;
MAULE;CURICO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Curicó;Vigente;02-08-2011;;;;No procede;No procede;;;No procede;844, 2951, 852, 3263, 3206, 3203, 3205, 3200, 3204, 3199, 3198, 3201, 3202
METROPOLITANA DE SANTIAGO;TALAGANTE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Talagante;Vigente;04-08-2011;;;;Sin información;Sin información;;;Sin información;1651, 1976, 1880, 1816, 3284
MAULE;TALCA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Talca;Vigente;26-10-2011;;;;Sin información;Sin información;;;Sin información;780, 3296, 863, 3227, 3225, 3226
ATACAMA;DIEGO DE ALMAGRO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Diego de Almagro;Vigente;27-10-2011;;;;Sin información;Sin información;;;Sin información;154
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MALLOA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Malloa_Localidades de Malloa y Pelequén;Vigente;05-04-2012;;;;Sin información;Sin información;;;Sin información;637
LA ARAUCANÍA;GORBEA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Gorbea;Vigente;24-07-2012;;;;Sin información;Sin información;;;Sin información;1081, 1169
LA ARAUCANÍA;RENAICO;Comunal;PRC;Instrumento de origen;PRC, localidad de Tijeral;Vigente;28-07-2012;;;;Sin información;Sin información;;;Sin información;
ÑUBLE;CHILLÁN VIEJO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chillán Viejo;Vigente;20-08-2012;;;;Sin información;Sin información;;;Sin información;2401, 2402
BIOBÍO;TIRUA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Tirúa;Vigente;29-08-2012;;;;Sin información;Sin información;;;Sin información;998, 1000, 1001
LA ARAUCANÍA;TOLTEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Toltén, localidades Queule y Villa O´Higgins.;Vigente;08-09-2012;;;;Procede;No procede;;;No procede;
MAULE;PELLUHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pelluhue;Vigente;04-12-2012;;;;Procede;No procede;;;No procede;3299, 3230
METROPOLITANA DE SANTIAGO;LA GRANJA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Granja;Vigente;27-12-2012;;;;Sin información;Sin información;;;Sin información;1960, 1841, 1997, 1985, 1624
BIOBÍO;ANTUCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Antuco;Vigente;20-03-2013;;;;No procede;No procede;;;No procede;2659
BIOBÍO;CORONEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Coronel;Vigente;22-04-2013;;;;No procede;No procede;;;No procede;911, 912, 913, 915, 914
METROPOLITANA DE SANTIAGO;CONCHALI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Conchalí;Vigente;04-05-2013;;;;Sin información;Sin información;;;Sin información;3269, 3270
ÑUBLE;SAN IGNACIO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Ignacio;Vigente;10-05-2013;;;;Sin información;Sin información;;;Sin información;
MAULE;COLBUN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Colbún;Vigente;05-02-2014;;;;Procede;Procede;11-10-2012;20-11-2012;No procede;3212
VALPARAÍSO;CALLE LARGA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Calle Larga;Vigente;05-03-2014;;;;Procede;No procede;;;No procede;528, 3050
METROPOLITANA DE SANTIAGO;INDEPENDENCIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Independencia;Vigente;20-03-2014;;;;Sin información;Sin información;;;Sin información;1770
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PAREDONES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Paredones;Vigente;17-12-2014;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;PAINE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Paine;Vigente;12-02-2015;;;;Sin información;Sin información;;;Sin información;1745, 2052, 3280
ÑUBLE;BULNES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Bulnes;Vigente;06-10-2015;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;PIRQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pirque;Vigente;23-12-2015;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LA ESTRELLA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Estrella;Vigente;12-04-2016;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;GRANEROS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Graneros_Localidades de Graneros y La Compañía;Vigente;02-07-2016;;;;Sin información;Sin información;;;Sin información;756, 755
ÑUBLE;CHILLÁN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chillán;Vigente;21-07-2016;;;;Sin información;Sin información;;;Sin información;2397
MAULE;CUREPTO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Curepto;Vigente;23-09-2016;;;;Procede;Procede;13-06-2012;27-07-2012;No procede;786
MAULE;SAN JAVIER;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Javier;Vigente;07-11-2016;;;;Procede;Procede;29-08-2014;03-06-2015;No procede;
METROPOLITANA DE SANTIAGO;SAN MIGUEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Miguel;Vigente;25-11-2016;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;OVALLE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ovalle;Vigente;23-12-2016;;;;Sin información;Sin información;;;Sin información;240
MAGALLANES Y ANTÁRTICA CHILENA;PUNTA ARENAS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Punta Arenas;Vigente;28-12-2016;;;;Sin información;Sin información;;;Sin información;1382, 1388, 3085, 2919, 3075, 3062, 3073, 3074, 3064, 3069, 3068, 3066, 3072
BIOBÍO;HUALQUI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Hualqui;Vigente;25-03-2017;;;;No procede;No procede;;;No procede;
VALPARAÍSO;CONCON;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Concón;Vigente;17-05-2017;;;;Procede;No procede;;;No procede;307, 308, 3000, 3061, 3060, 2986, 2958, 2959, 2840, 2841
MAULE;ROMERAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Romeral;Vigente;25-05-2017;;;;Sin información;Sin información;;;Sin información;812, 846
MAULE;TENO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Teno;Vigente;04-10-2017;;;;Procede;Procede;22-09-2014;08-10-2015;No procede;
MAULE;LINARES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Linares;Vigente;04-12-2017;;;;Procede;Procede;13-12-2012;25-01-2013;No procede;825, 3213
VALPARAÍSO;SAN ESTEBAN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Esteban;Vigente;21-06-2018;;;;Procede;No procede;;;No procede;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;CODEGUA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Codegua_Localidades de Codegua y La Compañía;Vigente;29-08-2018;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MOSTAZAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Mostazal;Vigente;26-10-2018;;;;Sin información;Sin información;;;Sin información;
MAULE;YERBAS BUENAS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Yerbas Buenas;Vigente;11-12-2018;;;;Procede;Procede;29-07-2013;31-01-2018;No procede;
MAULE;SAN CLEMENTE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Clemente;Vigente;11-06-2019;;;;Procede;No procede;;;No procede;
COQUIMBO;COQUIMBO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Coquimbo (incluye Tongoy y Guanaqueros);Vigente;10-07-2019;;;;Sin información;Sin información;;;Sin información;244, 2917, 2918, 2915, 2916, 2914, 2913, 2970, 2985, 2971, 2976, 2973, 2979, 2967, 2982, 3034, 3036, 3038, 3041, 3037, 3040, 3052, 3039, 3086, 3047, 3049, 3087, 3043, 3088, 3091, 3089, 3090, 3094, 3092, 3093, 3095, 3096
COQUIMBO;PAIHUANO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Paihuano;Vigente;10-07-2019;;;;Procede;Procede;30-05-2012;14-03-2014;No procede;
MAULE;MAULE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maule;Vigente;19-07-2019;;;;Procede;Procede;05-08-2014;08-10-2015;No procede;3224, 3231, 3232, 3233
VALPARAÍSO;QUILPUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quilpué;Vigente;26-07-2019;;;;Procede;No procede;;;No procede;500, 501, 3001, 3067, 3151, 3152, 3099, 3098, 3059, 3100, 3101, 3071, 3070, 3097, 2850, 2849, 2845, 2846, 2848, 2847, 2809, 2674, 2808, 2810, 2742, 2741
METROPOLITANA DE SANTIAGO;QUINTA NORMAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quinta Normal;Vigente;24-10-2019;;;;Sin información;Sin información;;;Sin información;3265, 2644, 3294, 3293
METROPOLITANA DE SANTIAGO;SAN JOAQUIN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Joaquín;Vigente;06-11-2019;;;;Sin información;Sin información;;;Sin información;2657
METROPOLITANA DE SANTIAGO;CERRO NAVIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cerro Navia;Vigente;13-12-2019;;;;No procede;Procede;18-12-2012;03-10-2018;No procede;2332
COQUIMBO;LA HIGUERA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Higuera;Vigente;29-04-2020;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;COMBARBALA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Combarbala;Vigente;30-04-2020;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;CASABLANCA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Casablanca;Vigente;16-10-2020;;;;Procede;No procede;;;No procede;524, 3045, 3056, 3057, 2736, 2737, 2677
COQUIMBO;LA SERENA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Serena;Vigente;19-12-2020;;;;Sin información;Sin información;;;Sin información;233, 2901, 2909, 2907, 2910, 2911, 2912, 2906, 2908, 2904, 2903, 2905, 2902
METROPOLITANA DE SANTIAGO;PUDAHUEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pudahuel;Vigente;05-02-2021;;;;Sin información;Sin información;;;Sin información;3291
ATACAMA;HUASCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Huasco;Vigente;13-02-2021;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;VICUÑA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Vicuña;Vigente;19-02-2021;;;;Procede;Procede;11-10-2012;26-03-2015;No procede;
ANTOFAGASTA;SIERRA GORDA;Comunal;PRC;Instrumento de origen;Modificación Plan Regulador Comunal de Sierra Gorda;Vigente;19-06-2021;;;;Procede;Procede;09-10-2014;12-10-2017;No procede;
MAULE;PENCAHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pencahue;Vigente;10-12-2021;;;;Procede;Procede;13-08-2014;11-12-2014;No procede;2668
